  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   174       2   6.60397067e-08   2.58424527e-04
   175       1   6.77120723e-02   3.09526792e-02
   175       2   7.51099820e-08   1.45990679e-04
   176       1   6.28955999e-02   3.07461517e-02
   176       2   5.32812951e-08   6.10733576e-04
   177       1   5.64275384e-02   3.09845308e-02
   177       2   4.96470538e-08   4.38602971e-04
   178       1   5.02409917e-02   2.91072954e-02
   178       2   6.06763361e-08   1.51855919e-04
   179       1   4.51914924e-02   2.68613449e-02
   179       2   3.61175448e-08   4.87267618e-04
   180       1   3.90152660e-02   2.58684454e-02
   180       2   1.38849741e-07   7.65156951e-04
   181       1   3.16136217e-02   2.36147185e-02
   181       2   6.60880182e-08   1.17381150e-04
   182       1   2.56562212e-02   1.94156661e-02
   182       2   5.35020905e-08   1.64844962e-04
   183       1   2.08206222e-02   1.62509909e-02
   183       2   9.37955520e-08   6.06025190e-04
   184       1   1.48186057e-02   1.39974525e-02
   184       2   7.43172765e-08   4.16354530e-04
   185       1   9.31991115e-03   1.00686951e-02
   185       2   2.48967498e-08   2.12993528e-04
   186       1   4.72752513e-03   6.02277077e-03
   186       2   6.39314347e-08   4.05483931e-04
   187       1   4.10962840e-03   3.51636571e-03
   188       1   7.24101354e-03   2.78849365e-03
   188       2   1.50586538e-06   1.51512785e-03
   189       1   1.26521004e-02   4.05239906e-03
   189       2   1.52257702e-07   4.29093652e-04
   190       1   1.76591725e-02   8.22924868e-03
   190       2   2.67835658e-07   4.37951369e-04
   191       1   2.40905860e-02   1.05109220e-02
   191       2   7.51668343e-08   4.33874611e-04
   192       1   3.11799323e-02   1.42617645e-02
   192       2   8.68707786e-08   4.20694327e-04
   193       1   3.61232636e-02   1.86577375e-02
   193       2   1.19135209e-07   2.23960988e-04
   194       1   4.07973760e-02   2.07627376e-02
   194       2   8.66026505e-08   6.47100868e-04
   195       1   4.68992790e-02   2.22600794e-02
   195       2   7.23352357e-08   3.60597616e-04
   196       1   5.27919766e-02   2.51191445e-02
   196       2   3.55371799e-08   1.99917844e-04
   197       1   5.75291229e-02   2.71649351e-02
   197       2   8.40433074e-08   3.52489612e-04
   198       1   6.37438099e-02   2.73767140e-02
   198       2   5.49342992e-08   5.88545326e-04
   199       1   7.17827338e-02   2.85094147e-02
   199       2   2.99598892e-08   2.23071070e-04
   200       1   7.81431381e-02   3.06077869e-02
   200       2   1.64412712e-07   2.15606134e-04
   201       1   8.35797104e-02   3.08487368e-02
   201       2   7.14072289e-08   7.13297119e-04
   202       1   9.03003199e-02   3.00819025e-02
   202       2   6.50561113e-08   7.47606096e-04
   203       1   9.57543337e-02   3.03688271e-02
   203       2   8.50608538e-08   2.86739546e-04
   204       1   9.66249861e-02   2.99210996e-02
   204       2   1.35432382e-07   2.09745898e-04
   205       1   9.78880136e-02   2.72394376e-02
   205       2   1.02310660e-07   4.56160928e-04
   206       1   1.00557829e-01   2.49508730e-02
   206       2   6.57820146e-08   1.63857087e-04
   207       1   9.88805516e-02   2.37732631e-02
   207       2   9.81735388e-08   3.34164945e-04
   208       1   9.31161367e-02   2.12729266e-02
   208       2   7.88613161e-08   1.54703521e-04
   209       1   8.82048641e-02   1.79134209e-02
   209       2   1.66501120e-07   3.08674344e-04
   210       1   8.16562559e-02   1.59039191e-02
   210       2   2.26827575e-07   1.94710816e-04
   211       1   6.16207996e-02   1.39960413e-02
   211       2   2.00677870e-07   3.67227167e-04
   212       1   3.88032663e-02   9.98333873e-03
   212       2   2.52351620e-07   1.19654397e-04
   213       1   1.65325740e-02   6.11038908e-03
   213       2   2.24765365e-07   3.25038172e-04
   214       1   1.61346266e-02   3.33507112e-03
   214       2   1.42194954e-07   9.32921371e-04
