  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   196       1   5.98683718e-02   3.26678990e-02
   196       2   8.22030367e-06   9.67708653e-04
   197       1   6.42046122e-02   2.86468260e-02
   197       2   1.32131642e-05   2.55071765e-03
   198       1   7.08132712e-02   2.73074598e-02
   198       2   6.92806550e-06   1.68464639e-03
   199       1   8.15651135e-02   3.05722304e-02
   199       2   2.99946068e-05   2.56563128e-03
   200       1   8.92864987e-02   3.10631500e-02
   200       2   6.46809711e-06   1.40128823e-03
   201       1   9.69319088e-02   2.91435023e-02
   201       2   1.43716064e-05   1.23889753e-03
   202       1   1.05284538e-01   3.10121760e-02
   202       2   2.12629141e-05   1.51717187e-03
   203       1   1.07239456e-01   3.33396626e-02
   203       2   4.03785008e-06   9.43433380e-04
   204       1   1.01879874e-01   2.85619343e-02
   204       2   2.81318251e-05   2.09854504e-03
   205       1   1.01839559e-01   2.38736241e-02
   205       2   1.85404113e-05   1.82562525e-03
   206       1   1.04378651e-01   2.31621392e-02
   206       2   1.21395785e-05   4.86981630e-04
   207       1   9.65815006e-02   1.94464895e-02
   207       2   1.97167389e-05   2.22812048e-03
   208       1   8.76910180e-02   1.29655804e-02
   208       2   6.13529498e-06   2.29959757e-03
   209       1   8.85331024e-02   1.14506429e-02
   209       2   1.81774500e-05   1.44792810e-03
   210       1   9.12030189e-02   1.28040107e-02
   210       2   2.28049097e-05   1.25184733e-03
   211       1   6.23283919e-02   1.02400725e-02
   211       2   1.91738435e-05   2.36899025e-03
   212       1   2.79958194e-02   5.49163981e-03
   212       2   3.86431463e-05   1.90462961e-03
   213       1   2.07694022e-02   4.06486171e-03
   213       2   1.58962674e-05   7.04704556e-04
   214       1   5.50678263e-02   3.95812710e-03
   214       2   1.17879663e-05   1.33363990e-03
   215       1   8.35183425e-02   9.54480063e-03
   215       2   6.84075600e-05   2.31860394e-03
   216       1   8.06686504e-02   1.43529370e-02
   216       2   2.97650787e-05   1.37694175e-03
   217       1   7.91638157e-02   1.43715330e-02
   217       2   7.91812704e-06   4.69908592e-04
   218       1   8.59591376e-02   1.81821115e-02
   218       2   3.25225287e-05   1.76796080e-03
   219       1   9.17662550e-02   2.25934241e-02
   219       2   2.53797092e-05   1.78357311e-03
   220       1   8.99386759e-02   2.07031410e-02
   220       2   6.57606872e-06   5.76297535e-04
   221       1   8.97791324e-02   1.99204244e-02
   221       2   1.12414335e-05   8.68389244e-04
   222       1   9.34472067e-02   2.41531296e-02
   222       2   1.25024119e-05   2.39782257e-03
   223       1   9.18171735e-02   2.75783166e-02
   223       2   4.86488233e-06   6.23600891e-04
   224       1   8.62728932e-02   2.72481447e-02
   224       2   7.74257812e-06   1.08316186e-03
   225       1   8.07657693e-02   2.92877411e-02
   225       2   2.33995433e-06   1.54582713e-03
   226       1   7.35858738e-02   3.29369987e-02
   226       2   1.07676574e-05   2.26405816e-03
   227       1   6.39566850e-02   3.09680146e-02
   227       2   5.26433666e-06   1.68410333e-03
   228       1   5.84109745e-02   2.68298677e-02
   228       2   7.25279002e-06   2.47255433e-03
   229       1   5.46286011e-02   2.71430702e-02
   229       2   2.26584311e-06   8.41078984e-04
   230       1   4.94865844e-02   2.59645986e-02
   230       2   2.28259991e-06   6.89569522e-04
   231       1   4.40960609e-02   2.13669620e-02
   231       2   7.92785472e-06   2.86568795e-03
   232       1   4.19229222e-02   1.98955870e-02
   232       2   3.62675415e-06   1.46708304e-03
   233       1   3.94077169e-02   2.20393317e-02
